,24.467,54.6103,
,25.2422,55.3314,
,24.989,55.0238,
,25.691,55.778,
,-11.4723,16.7109,
,-14.6982,16.0701,
,-17.9819,20.7681,
,-9.27519,14.9772,
,-13.7106,19.8611,
,-14.105,21.45,
,-40.7781,-62.9803,
,-38.2271,-57.8697,
,-35,-63,
,-27.2164,-61.2103,
,-37.8514,-71.0092,
,-38.0819,-70.6439,
,-37.9102,-67.835,
,-40.8177,-68.0747,
,-40.7,-66.15,
,-46.4318,-67.5186,
,-14.2292,-169.511,
,-34,148.133,
,-33.5871,151.323,
,-30.7,152.917,
,-33.869,151.262,
,-20.6406,134.215,
,-21.7383,135.242,
,-25.0325,132.275,
,-20.5,137.75,
,-19.2908,136.079,
,-18.0181,135.535,
,-13.7808,136.202,
,-18.64,135.938,
,-13.1981,136.227,
,-15.5483,130.962,
,-17.948,135.916,
,-17.607,131.549,
,-13.7498,130.694,
,-16.2647,133.383,
,-25.2058,133.254,
,-21.1725,135.444,
,-18.001,134.863,
,-17.7792,129.21,
,-25.8428,133.292,
,-20.51,134.671,
,-17.2356,129.882,
,-18.8093,137.081,
,-14.0533,134.094,
,-14.1167,133.833,
,-14.8181,133.701,
,-22.5312,133.763,
,-16.0442,129.264,
,-14.1442,130.091,
,-14.9215,134.05,
,-16.7183,136.945,
,-15.8074,134.146,
,-12.1456,142.149,
,-17.3883,144.169,
,-15.8736,145.33,
,-23.3639,141.563,
,-16.8808,143.479,
,-12.6592,142.675,
,-14.7403,144.119,
,-19.4794,140.927,
,-18.7167,144.317,
,-14.9708,145.312,
,-28.4301,152.089,
,-16.053,143.012,
,-23.7617,141.145,
,-18.5033,144.094,
,-15.6858,145.215,
,-15.2923,145.104,
,-24.3388,139.279,
,-23.0167,138.7,
,-24.1129,152.716,
,-19.67,144.885,
,46.3834,-82.6331,
,-19.2,145.773,
,56.4657,-5.3977,
,-18.634,146.5,
,-28.0598,141.536,
,-13.6434,142.641,
,-18.4253,144.459,
,-24.0568,139.082,
,-27.5167,153.428,
,-13.9754,143.554,
,-10.3667,142.117,
,-26.388,153.028,
